scenario,start_time,end_time,start_time_readable,end_time_readable,escooter_clicks,bike_clicks,pedestrian_clicks,duration(s),video_start_time,video_end_time
1,1659386777,1659386854,2022-08-01 16:46:17,2022-08-01 16:47:34,5,3,0,77,-1659386532532067452,-1659386532532067375
2,1659386953,1659386993,2022-08-01 16:49:13,2022-08-01 16:49:53,0,1,0,40,-1659386532532067276,-1659386532532067236
3,1659387032,1659387118,2022-08-01 16:50:32,2022-08-01 16:51:58,13,13,0,86,-1659386532532067197,-1659386532532067111
4,1659387134,1659387174,2022-08-01 16:52:14,2022-08-01 16:52:54,0,1,0,40,-1659386532532067095,-1659386532532067055
5,1659387296,1659387472,2022-08-01 16:54:56,2022-08-01 16:57:52,2,16,0,176,-1659386532532066933,-1659386532532066757
6,1659387494,1659387745,2022-08-01 16:58:14,2022-08-01 17:02:25,0,9,0,251,-1659386532532066735,-1659386532532066484
7,1659387760,1659387839,2022-08-01 17:02:40,2022-08-01 17:03:59,0,2,0,79,-1659386532532066469,-1659386532532066390
8,1659388301,1659388342,2022-08-01 17:11:41,2022-08-01 17:12:22,2,1,0,41,-1659386532532065928,-1659386532532065887
9,1659388360,1659388631,2022-08-01 17:12:40,2022-08-01 17:17:11,2,15,0,271,-1659386532532065869,-1659386532532065598
12,1659389517,1659389557,2022-08-01 17:31:57,2022-08-01 17:32:37,0,2,0,40,-1659386532532064712,-1659386532532064672
13,1659389570,1659389649,2022-08-01 17:32:50,2022-08-01 17:34:09,0,4,0,79,-1659386532532064659,-1659386532532064580
14,1659389731,1659389809,2022-08-01 17:35:31,2022-08-01 17:36:49,0,3,0,78,-1659386532532064498,-1659386532532064420
15,1659389825,1659389865,2022-08-01 17:37:05,2022-08-01 17:37:45,0,1,0,40,-1659386532532064404,-1659386532532064364
16,1659389930,1659389971,2022-08-01 17:38:50,2022-08-01 17:39:31,2,0,0,41,-1659386532532064299,-1659386532532064258
17,1659389977,1659390055,2022-08-01 17:39:37,2022-08-01 17:40:55,0,3,0,78,-1659386532532064252,-1659386532532064174
18,1659390068,1659390148,2022-08-01 17:41:08,2022-08-01 17:42:28,0,5,0,80,-1659386532532064161,-1659386532532064081
19,1659390155,1659390232,2022-08-01 17:42:35,2022-08-01 17:43:52,0,3,0,77,-1659386532532064074,-1659386532532063997
