Subfolder,Duration of synced frames(minutes),Total_synced_frames,lidar_location
01-08-22_12-38-37,69,41124,TASI Network Drive
14-05-22_18-47-48,49,29344,TASI Network Drive
20-07-22_21-00-35,24,14554,TASI_Escooter_drive1
01-08-22_09-55-56,65,39099,TASI_Escooter_drive1
01-08-22_11-01-10,72,42988,TASI_Escooter_drive1
03-08-22_11-33-03,29,17296,TASI_Escooter_drive1
04-08-22_18-14-39,9,5273,TASI_Escooter_drive1
06-08-22_14-56-07,171,102491,TASI_Escooter_drive1
11-05-22_17-57-44,2,974,TASI_Escooter_drive1
11-05-22_18-12-13,61,36696,TASI_Escooter_drive1
14-05-22_19-57-37,55,32772,TASI_Escooter_drive1
15-05-22_19-01-19,47,28061,TASI_Escooter_drive1
15-05-22_21-24-28,73,43776,TASI_Escooter_drive1
17-05-22_12-02-36,36,21627,TASI_Escooter_drive1
17-05-22_13-46-30,31,18377,TASI_Escooter_drive1
18-05-22_08-49-34,80,48143,TASI_Escooter_drive1
20-07-22_16-53-09,46,27484,TASI_Escooter_drive1
20-07-22_18-08-23,81,48631,TASI_Escooter_drive1
20-08-22_14-38-27,64,38106,TASI_Escooter_drive1
23-06-22_19-43-49,156,93713,Wait_for_quality_drive
01-08-22_09-23-48,18,10884,Wait_for_quality_drive
01-08-22_19-04-58,31,18336,Wait_for_quality_drive
04-08-22_10-53-54,20,12153,Wait_for_quality_drive
04-08-22_13-12-32,23,13857,Wait_for_quality_drive
20-08-22_17-50-57,62,37369,TASI_Escooter_drive1
21-05-22_13-56-29,91,54800,TASI_Escooter_drive1
06-08-22_11-40-28,109,65245,Wait_for_quality_drive
11-05-22_21-08-01,61,36356,Wait_for_quality_drive
14-05-22_21-28-10,3,1783,Wait_for_quality_drive
21-06-22_19-37-39,84,50674,TASI_Escooter_drive1
15-05-22_17-56-47,64,38627,Wait_for_quality_drive
17-05-22_17-24-35,45,27089,Wait_for_quality_drive
19-05-22_14-22-39,18,10649,Wait_for_quality_drive
21-07-22_17-04-29,83,49747,TASI_Escooter_drive1
27-07-22_20-24-07,5,2722,TASI_Escooter_drive1
28-06-22_17-06-53,28,16833,TASI_Escooter_drive1
28-07-22_11-16-26,7,3955,TASI_Escooter_drive1
28-07-22_11-24-22,61,36887,TASI_Escooter_drive1
19-05-22_17-17-32,109,65226,Wait_for_quality_drive
28-07-22_18-38-48,60,36201,TASI_Escooter_drive1
01-08-22_20-20-52,42,25113,TASI Network Drive
21-06-22_23-38-34,3,1547,TASI Network Drive
29-07-22_13-01-53,78,46581,TASI_Escooter_drive1
29-06-22_18-22-34,46,27534,TASI Network Drive
29-07-22_16-48-16,73,43618,TASI_Escooter_drive1
23-06-22_22-38-28,73,43642,TASI Network Drive
19-05-22_19-32-43,127,76215,Wait_for_quality_drive
29-07-22_19-58-21,49,29550,TASI_Escooter_drive1
19-08-22_19-44-25,2,1200,Wait_for_quality_drive
05-08-22_12-24-16,61,36700,TASI Network Drive
20-05-22_17-10-08,48,28542,Wait_for_quality_drive
30-07-22_13-15-17,68,40624,TASI_Escooter_drive1
30-07-22_17-00-36,30,18031,TASI_Escooter_drive1
30-07-22_18-59-13,35,20972,TASI_Escooter_drive1
31-07-22_17-09-50,71,42735,TASI_Escooter_drive1
21-05-22_00-09-27,121,72504,TASI Network Drive
20-07-22_19-36-48,10,5989,TASI Network Drive
20-05-22_18-38-12,146,87491,Wait_for_quality_drive
20-05-22_21-41-16,117,70416,Wait_for_quality_drive
20-06-22_22-18-30,0,271,Wait_for_quality_drive
28-06-22_17-38-08,147,87982,TASI Network Drive
30-07-22_16-05-44,32,19234,TASI Network Drive
02-08-22_18-00-46,26,15489,TASI Network Drive
20-06-22_22-31-04,60,36047,Wait_for_quality_drive
20-08-22_15-42-01,64,38177,TASI Network Drive
20-07-22_20-05-34,55,32986,Wait_for_quality_drive
20-08-22_14-21-31,11,6612,Wait_for_quality_drive
14-05-22_20-52-14,36,21319,TASI Network Drive
29-07-22_14-19-31,149,89251,TASI Network Drive
11-05-22_18-00-31,11,6424,TASI Network Drive
17-05-22_17-02-09,16,9424,TASI Network Drive
21-05-22_15-31-56,172,103210,Wait_for_quality_drive
21-06-22_21-02-12,0,30,Wait_for_quality_drive
21-06-22_22-30-13,0,164,Wait_for_quality_drive
27-07-22_20-39-48,109,65451,TASI Network Drive
24-06-22_19-00-57,82,49419,Wait_for_quality_drive
31-07-22_18-21-03,29,17449,TASI Network Drive
24-06-22_23-28-05,21,12573,TASI Network Drive
29-06-22_17-18-58,59,35185,TASI Network Drive
20-08-22_19-13-01,85,51036,TASI Network Drive
24-06-22_21-22-41,114,68534,Wait_for_quality_drive
24-06-22_23-17-11,5,2740,Wait_for_quality_drive
24-06-22_23-56-47,13,7615,Wait_for_quality_drive
28-06-22_12-41-55,8,4723,Wait_for_quality_drive
28-06-22_13-57-07,44,26536,Wait_for_quality_drive
28-07-22_16-28-54,63,37507,Wait_for_quality_drive
29-06-22_12-37-30,98,58739,TASI Network Drive
19-08-22_19-39-41,4,2537,TASI Network Drive
28-07-22_17-31-28,59,35485,Wait_for_quality_drive
28-07-22_19-45-39,53,31652,Wait_for_quality_drive
30-07-22_14-23-04,64,38698,TASI Network Drive
26-06-22_17-08-51,64,38114,TASI Network Drive
21-06-22_19-23-03,3,1996,TASI Network Drive
23-06-22_23-53-10,34,20290,TASI Network Drive
28-07-22_13-30-22,67,40161,TASI Network Drive
13-05-22_21-26-18,39,23145,TASI Network Drive
31-07-22_16-43-21,16,9497,TASI Network Drive
19-05-22_10-13-16,15,9131,TASI Network Drive
29-06-22_15-17-14,117,70163,Wait_for_quality_drive
29-07-22_19-00-43,29,17561,Wait_for_quality_drive
29-07-22_19-31-35,21,12517,Wait_for_quality_drive
29-07-22_21-02-27,35,20968,Wait_for_quality_drive
30-07-22_12-12-10,63,37824,Wait_for_quality_drive
30-07-22_15-27-36,30,17820,Wait_for_quality_drive
31-07-22_19-12-07,95,57040,TASI Network Drive
30-07-22_17-55-03,64,38493,Wait_for_quality_drive
22-06-22_20-24-38,79,47267,TASI Network Drive
31-07-22_15-41-45,61,36577,Wait_for_quality_drive
29-07-22_18-01-04,60,35766,TASI Network Drive
20-07-22_21-25-03,4,2682,TASI Network Drive
04-08-22_13-54-39,112,67166,TASI Network Drive
21-07-22_18-27-27,49,29369,TASI Network Drive
28-07-22_12-26-54,63,37727,TASI Network Drive
20-08-22_16-45-39,65,39092,TASI Network Drive
30-07-22_19-40-32,63,37750,TASI Network Drive
21-05-22_12-29-03,87,52440,TASI Network Drive
30-07-22_20-43-29,65,38702,TASI Network Drive
29-07-22_11-38-12,82,49248,TASI Network Drive
